position,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,eigencentrality,playerID,PlayerName2,WeightedDegree,Modularity
WR,15.060277,5,0.358223,0.387597,0.002154,0.034555,0.03455,0.001161,0.323949,42489,Stefon Diggs,15.060277,5
QB,54.412905,5,0.382134,0.433431,0.02179,0.090304,0.090291,0.003304,0.844186,46076,Josh Allen,54.412905,5
CB,15.064214,5,0.361248,0.391548,0.001659,0.028433,0.028437,0.000937,0.275059,43294,Jalen Ramsey,15.064214,1
DE,26.479577,5,0.367717,0.401028,0.00276,0.036387,0.036392,0.001191,0.35342,43298,Leonard Floyd,26.479577,1
SS,20.637031,5,0.363465,0.394794,0.001246,0.03453,0.034534,0.000979,0.333315,48026,Nick Scott,20.637031,1
ILB,35.544543,5,0.369216,0.403517,0.00459,0.041314,0.04132,0.001305,0.399517,38577,Bobby Wagner,35.544543,1
OLB,6.399418,5,0.350877,0.377165,0.000724,0.018061,0.018064,0.000541,0.174232,52492,Terrell Lewis,6.399418,1
FS,27.12788,5,0.365796,0.39816,0.002166,0.035795,0.035799,0.001117,0.355401,43353,Kevin Byard,27.12788,7
CB,14.673254,5,0.362097,0.393669,0.003519,0.03016,0.030165,0.001125,0.300993,54500,Roger McCreary,14.673254,7
CB,3.194355,5,0.337349,0.358994,0.000292,0.012104,0.012106,0.000397,0.116637,53451,Caleb Farley,3.194355,7
CB,0.876229,6,0.277427,0.294968,0.000001,0.004016,0.004017,0.000209,0.037299,55181,Tre Avery,0.876229,5
ILB,10.502706,5,0.353454,0.380379,0.000884,0.022268,0.022271,0.00061,0.218215,44869,Zach Cunningham,10.502706,7
CB,0.220723,6,0.276779,0.293398,0,0.003115,0.003116,0.000144,0.028799,52651,Chris Jackson,0.220723,5
CB,9.273726,5,0.373062,0.40237,0.00204,0.036738,0.036743,0.000861,0.33787,43327,Xavien Howard,9.273726,5
ILB,23.600526,5,0.381471,0.412587,0.001941,0.049306,0.049313,0.001041,0.452224,46142,Jerome Baker,23.600526,5
SS,9.385164,5,0.361418,0.388106,0.000831,0.026513,0.026517,0.000654,0.244123,42390,Eric Rowe,9.385164,5
SS,19.246289,5,0.382704,0.416429,0.00299,0.054841,0.054848,0.001288,0.503389,53465,Jevon Holland,19.246289,5
CB,12.116587,5,0.364756,0.396894,0.001596,0.039729,0.039733,0.000975,0.366125,42361,Marcus Peters,12.116587,5
CB,17.064124,5,0.376252,0.406742,0.001755,0.040682,0.040687,0.001007,0.376265,44828,Marlon Humphrey,17.064124,5
ILB,25.159527,5,0.371891,0.407879,0.003826,0.055415,0.055422,0.001346,0.51075,52436,Patrick Queen,25.159527,5
OLB,25.520272,5,0.370281,0.405238,0.00409,0.046622,0.046629,0.001296,0.430683,52510,Alex Highsmith,25.520272,5
CB,6.424845,5,0.349286,0.37526,0.000386,0.025085,0.025088,0.00059,0.228644,46698,Levi Wallace,6.424845,5
CB,7.044182,5,0.355823,0.383885,0.000997,0.027786,0.027791,0.000721,0.255205,44906,Cameron Sutton,7.044182,5
FS,7.765712,5,0.344519,0.369383,0.000424,0.02339,0.023393,0.000499,0.213869,53674,Tre Norwood,7.765712,5
CB,3.598073,5,0.338759,0.361548,0.00066,0.013138,0.01314,0.000475,0.123543,52697,James Pierre,3.598073,5
ILB,36.514301,5,0.378471,0.411234,0.00357,0.043515,0.04352,0.001339,0.428227,53487,Nick Bolton,36.514301,0
OLB,6.714214,5,0.344057,0.363961,0.000097,0.011195,0.011197,0.000305,0.108877,54568,Leo Chenal,6.714214,0
CB,25.925908,5,0.373333,0.408106,0.003628,0.044619,0.044625,0.001339,0.440092,52546,L'Jarius Sneed,25.925908,0
DT,23.029852,5,0.369837,0.397771,0.001285,0.026426,0.026429,0.000786,0.260343,47867,Khalen Saunders,23.029852,0
CB,9.480575,5,0.352483,0.380444,0.002261,0.023506,0.02351,0.000832,0.231089,54708,Jaylen Watson,9.480575,0
DE,14.541677,5,0.36074,0.388474,0.001904,0.023448,0.023451,0.000838,0.229653,54495,George Karlaftis,14.541677,0
CB,6.812438,5,0.337571,0.359156,0.000894,0.011535,0.011537,0.000564,0.112516,54600,Joshua Williams,6.812438,0
OLB,15.878889,5,0.367717,0.397175,0.002855,0.025864,0.025868,0.001032,0.261408,35493,Carlos Dunlap,15.878889,0
FS,14.690019,5,0.367191,0.396461,0.003317,0.030028,0.030031,0.001111,0.297368,47846,Juan Thornhill,14.690019,0
ILB,36.432207,5,0.382704,0.414784,0.002469,0.050952,0.050958,0.001162,0.472133,43404,De'Vondre Campbell,36.432207,5
CB,15.027633,5,0.378657,0.409751,0.002609,0.042644,0.04265,0.001094,0.395347,44911,Rasul Douglas,15.027633,5
ILB,0.935009,6,0.277378,0.294913,0,0.004646,0.004647,0.000167,0.042885,45215,Eric Wilson,0.935009,0
SS,28.035074,5,0.382989,0.414156,0.002648,0.051399,0.051405,0.00113,0.47346,41270,Lamarcus Joyner,28.035074,5
CB,9.641693,5,0.370727,0.400649,0.001532,0.035391,0.035397,0.000927,0.328584,53583,Michael Carter,9.641693,5
ILB,46.773887,5,0.388693,0.425952,0.005354,0.068069,0.068077,0.001728,0.628833,41243,C.J. Mosley,46.773887,5
CB,20.147094,5,0.382989,0.414242,0.002668,0.047635,0.047641,0.001192,0.440562,46211,D.J. Reed,20.147094,5
SS,24.458986,5,0.37561,0.407229,0.002579,0.047824,0.04783,0.001142,0.439402,46186,Jordan Whitehead,24.458986,5
ILB,27.488798,5,0.365535,0.397078,0.00218,0.034077,0.034081,0.001023,0.330651,53532,Ernest Jones,27.488798,1
RB,61.395718,5,0.371891,0.41184,0.007384,0.061338,0.061329,0.002052,0.573125,47857,Devin Singletary,61.395718,0
NT,11.554768,5,0.350957,0.375054,0.000548,0.015939,0.015941,0.000528,0.154905,47917,Greg Gaines,11.554768,1
RB,11.498866,5,0.341767,0.36289,0.000318,0.016759,0.016757,0.000575,0.157279,52494,Zack Moss,11.498866,1
WR,4.799378,5,0.338313,0.359556,0.000278,0.016746,0.016744,0.000534,0.153603,52536,Gabe Davis,4.799378,5
DT,32.587995,5,0.369926,0.404978,0.005347,0.03802,0.038026,0.001442,0.371471,41239,Aaron Donald,32.587995,1
DT,24.480348,5,0.363465,0.392424,0.001744,0.028824,0.028828,0.000798,0.278098,43335,A'Shawn Robinson,24.480348,1
WR,2.4417,5,0.336024,0.354361,0.000177,0.010841,0.01084,0.000382,0.102139,42448,Jamison Crowder,2.4417,5
SS,16.949642,5,0.354839,0.385606,0.000945,0.027931,0.027934,0.000872,0.271015,47844,Taylor Rapp,16.949642,1
